|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.5890|±  |0.0064|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5428|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.6250|±  |0.0610|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5030|±  |0.0390|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.7171|±  |0.0072|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5571|±  |0.0297|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5102|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6767|±  |0.0154|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.5469|±  |0.0160|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6251|±  |0.0159|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5330|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.4561|±  |0.0164|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4976|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4385|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.1810|±  |0.0128|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.5406|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.6329|±  |0.0158|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.6262|±  |0.0159|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.4802|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4037|±  |0.0171|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5175|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.6421|±  |0.0179|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.6310|±  |0.0167|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.4909|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5266|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.3972|±  |0.0166|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.4978|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5012|±  |0.0177|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.5242|±  |0.0174|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.4914|±  |0.0176|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3828|±  |0.0159|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.1888|±  |0.0130|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.3344|±  |0.0155|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5402|±  |0.0181|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4538|±  |0.0170|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4850|±  |0.0170|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.6035|±  |0.0158|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.5064|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5062|±  |0.0176|
