|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.5174|±  |0.0069|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5131|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.5000|±  |0.0630|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5091|±  |0.0390|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.5255|±  |0.0080|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5393|±  |0.0298|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5208|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5216|±  |0.0164|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.6426|±  |0.0154|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5553|±  |0.0163|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5095|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.5417|±  |0.0164|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4878|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.5485|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.2373|±  |0.0141|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.5680|±  |0.0161|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5070|±  |0.0164|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5005|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.4831|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4707|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.4708|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5139|±  |0.0187|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.6012|±  |0.0169|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.4812|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5266|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4615|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.4967|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5037|±  |0.0177|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.5471|±  |0.0173|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.4815|±  |0.0175|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3871|±  |0.0160|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.2206|±  |0.0137|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6407|±  |0.0158|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5889|±  |0.0179|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.5345|±  |0.0171|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4873|±  |0.0170|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.3226|±  |0.0151|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.5117|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5249|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5090|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.6241|±  |0.0157|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.2240|±  |0.0135|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0657|±  |0.0081|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5842|±  |0.0164|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5810|±  |0.0163|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.9705|±  |0.0057|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.5496|±  |0.0172|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5131|±  |0.0173|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5138|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.4979|±  |0.0163|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.3103|±  |0.0153|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4787|±  |0.0165|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9770|±  |0.0050|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5016|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4453|±  |0.0162|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.6143|±  |0.0157|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4685|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.5048|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.2568|±  |0.0144|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.5270|±  |0.0169|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4766|±  |0.0161|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5638|±  |0.0159|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.6126|±  |0.0155|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.4357|±  |0.0161|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.4728|±  |0.0165|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.4954|±  |0.0170|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.9187|±  |0.0088|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4598|±  |0.0170|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.9510|±  |0.0072|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9417|±  |0.0080|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9768|±  |0.0051|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.4263|±  |0.0167|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.5528|±  |0.0164|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0176|±  |0.0044|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.5174|±  |0.0069|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5208|±  |0.0019|
