|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.6089|±  |0.0063|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5321|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.6406|±  |0.0605|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5758|±  |0.0386|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.7318|±  |0.0071|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5643|±  |0.0297|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5060|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6164|±  |0.0160|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.6025|±  |0.0157|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6241|±  |0.0159|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5196|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.4355|±  |0.0163|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4768|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4456|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.1777|±  |0.0127|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.5364|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5856|±  |0.0162|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.6412|±  |0.0157|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5037|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4232|±  |0.0173|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5377|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5738|±  |0.0185|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.6524|±  |0.0164|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.4973|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5305|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4030|±  |0.0166|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.4870|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5187|±  |0.0177|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.4674|±  |0.0173|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.5025|±  |0.0176|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3763|±  |0.0159|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.2042|±  |0.0134|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.4297|±  |0.0163|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5217|±  |0.0181|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4749|±  |0.0171|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4804|±  |0.0170|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.6316|±  |0.0156|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4894|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5087|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5303|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5026|±  |0.0163|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.2608|±  |0.0142|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0248|±  |0.0051|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5314|±  |0.0166|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5328|±  |0.0165|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.9807|±  |0.0046|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.0848|±  |0.0096|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5155|±  |0.0173|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5150|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.4873|±  |0.0163|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.2643|±  |0.0146|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4656|±  |0.0165|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9562|±  |0.0068|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5169|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4591|±  |0.0163|
